,Title,Note,URL,Comment,geometry,x,y
0,Dropped Pin,,"https://www.google.com/maps/search/40.5155031,-74.4376255",,,-74.4376255,40.5155031
1,Dropped Pin,,"https://www.google.com/maps/search/40.5156802,-74.4375702",,,-74.4375702,40.5156802
2,Dropped Pin,,"https://www.google.com/maps/search/40.5160254,-74.4373445",,,-74.4373445,40.5160254
3,Dropped Pin,,"https://www.google.com/maps/search/40.5160116,-74.4374049",,,-74.4374049,40.5160116
4,Dropped Pin,,"https://www.google.com/maps/search/40.516022,-74.4374173",,,-74.4374173,40.516022
5,Dropped Pin,,"https://www.google.com/maps/search/40.5161314,-74.4374619",,,-74.4374619,40.5161314
6,Dropped Pin,,"https://www.google.com/maps/search/40.5160162,-74.4373831",,,-74.4373831,40.5160162
7,Dropped Pin,,"https://www.google.com/maps/search/40.5159606,-74.4374096",,,-74.4374096,40.5159606
8,Dropped Pin,,"https://www.google.com/maps/search/40.5159762,-74.437189",,,-74.437189,40.5159762
9,Dropped Pin,,"https://www.google.com/maps/search/40.5159234,-74.4374595",,,-74.4374595,40.5159234
10,Dropped Pin,,"https://www.google.com/maps/search/40.5158383,-74.4373546",,,-74.4373546,40.5158383
11,Dropped Pin,Approx. Couldn't beat through briers,"https://www.google.com/maps/search/40.5157771,-74.4374307",,,-74.4374307,40.5157771
12,Dropped Pin,,"https://www.google.com/maps/search/40.5157269,-74.4375155",,,-74.4375155,40.5157269
13,Dropped Pin,,"https://www.google.com/maps/search/40.5157011,-74.4375474",,,-74.4375474,40.5157011
14,Dropped Pin,,"https://www.google.com/maps/search/40.5155668,-74.4375437",,,-74.4375437,40.5155668
15,Dropped Pin,,"https://www.google.com/maps/search/40.5154725,-74.4376208",,,-74.4376208,40.5154725
16,Dropped Pin,Fallen adult,"https://www.google.com/maps/search/40.5154909,-74.4377489",,,-74.4377489,40.5154909
17,Dropped Pin,,"https://www.google.com/maps/search/40.5155472,-74.4376935",,,-74.4376935,40.5155472
18,Dropped Pin,,"https://www.google.com/maps/search/40.5155423,-74.4376694",,,-74.4376694,40.5155423
19,Dropped Pin,,"https://www.google.com/maps/search/40.5156076,-74.4377757",,,-74.4377757,40.5156076
20,Dropped Pin,,"https://www.google.com/maps/search/40.5156191,-74.4378072",,,-74.4378072,40.5156191
21,Dropped Pin,,"https://www.google.com/maps/search/40.5155803,-74.4377401",,,-74.4377401,40.5155803
22,Dropped Pin,,"https://www.google.com/maps/search/40.5156614,-74.4376815",,,-74.4376815,40.5156614
23,Dropped Pin,Adult,"https://www.google.com/maps/search/40.5156611,-74.4375561",,,-74.4375561,40.5156611
24,Dropped Pin,,"https://www.google.com/maps/search/40.5158005,-74.4375839",,,-74.4375839,40.5158005
25,Dropped Pin,,"https://www.google.com/maps/search/40.5159079,-74.4376453",,,-74.4376453,40.5159079
26,Dropped Pin,,"https://www.google.com/maps/search/40.5158798,-74.4376396",,,-74.4376396,40.5158798
27,Dropped Pin,,"https://www.google.com/maps/search/40.5160047,-74.4376644",,,-74.4376644,40.5160047
28,Dropped Pin,,"https://www.google.com/maps/search/40.5162326,-74.4376811",,,-74.4376811,40.5162326
29,Dropped Pin,,"https://www.google.com/maps/search/40.5159665,-74.4376194",,,-74.4376194,40.5159665
30,Dropped Pin,,"https://www.google.com/maps/search/40.5161102,-74.4376084",,,-74.4376084,40.5161102
31,Dropped Pin,,"https://www.google.com/maps/search/40.5162611,-74.4376811",,,-74.4376811,40.5162611
